link,title,authors,journal,ym,year
/doi/10.1287/isre.2019.0896,Unemployment and Worker Participation in the Gig Economy: Evidence from an Online Labor Market,Ni Huang ; ,Information Systems Research, (June 2020),2020
/doi/10.1287/msom.2020.0916,Making the Most of Your Regret: Workers’ Relocation Decisions in On-Demand Platforms,Zhong-Zhong Jiang ; ,Manufacturing & Service Operations Management, (May–June 2021),2021
/doi/10.1287/msom.2019.0791,Twenty Years in the Making: The Evolution of the Journal of ,Yue Dai; ,Manufacturing & Service Operations Management, (January-February 2020),2020
/doi/10.1287/mnsc.2020.3614,Knowledge Sharing in Alliances and Alliance Portfolios,Ashish Arora; ,Management Science, (March 2021),2021
/doi/10.1287/mnsc.2017.2916,Can You Gig It? An Empirical Examination of the Gig Economy and Entrepreneurial Activity,Gordon Burtch; ,Management Science, (December 2018),2018
/doi/10.1287/msom.2017.0633,OM Forum—Three Simple Approaches for Young Scholars to Identify Relevant and Novel Research Topics in Operations Management,Christopher S. Tang ; ,Manufacturing & Service Operations Management, (Summer 2017),2017
/doi/10.1287/stsc.2016.0011,Extending Nonmarket Strategy: Political Economy and the Radical Flank Effect in Private Politics,David P. Baron; ,Strategy Science, (June 2016),2016
/doi/10.1287/orsc.1060.0188,Interorganizational Ties and Business Group Boundaries: Evidence from an Emerging Economy,Tarun Khanna; ,Organization Science, (May-June 2006),2006
/doi/10.1287/orsc.2018.1214,Here’s an Opportunity: Knowledge Sharing Among Competitors as a Response to Buy-in Uncertainty,Tristan L. Botelho ; ,Organization Science, (November-December 2018),2018
/doi/10.1287/isre.1070.0145,Capacity Provision Networks: Foundations of Markets for Sharable Resources in Distributed Computational Economies,Anna Ye Du; ,Information Systems Research, (June 2008),2008
/doi/10.1287/mnsc.2020.3730,Outsourcing Tasks Online: Matching Supply and Demand on Peer-to-Peer Internet Platforms,Zoë Cullen; ,Management Science, (July 2021),2021
/doi/10.1287/msom.2020.0929,Enabling Smarter Cities with Operations Management,Ho-Yin Mak ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/msom.2019.0804,Sustainable Operations Management Through the Perspective of ,Atalay Atasu ; ,Manufacturing & Service Operations Management, (January-February 2020),2020
/doi/10.1287/mnsc.2017.2831,Profit Sharing and Peer Reporting,Jeffrey Carpenter ; ,Management Science, (September 2018),2018
/doi/10.1287/mnsc.2014.1968,Asset Pricing in a Monetary Economy with Heterogeneous Beliefs,Benjamin Croitoru; ,Management Science, (September 2015),2015
/doi/10.1287/mnsc.33.8.1010,An Optimal Design Problem for Limited Processor Sharing Systems,Genji Yamazaki; ,Management Science, (August 1987),1987
/doi/10.1287/inte.2019.0994,Special Issue of ,Guest Editors: Burcu B. Keskin ; ,INFORMS Journal on Applied Analytics, (May-June 2019),2019
/doi/10.1287/mnsc.2017.2796,Capacity Sharing Between Competitors,Liang Guo ; ,Management Science, (August 2018),2018
/doi/10.1287/mnsc.2019.3351,A Balancing Act of Regulating On-Demand Ride Services,Jiayi Joey Yu ; ,Management Science, (July 2020),2020
/doi/10.1287/opre.2017.1716,Quantile-Based Risk Sharing,Paul Embrechts; ,Operations Research, (July-August 2018),2018
/doi/10.1287/moor.2019.1039,Last-Mile Shared Delivery: A Discrete Sequential Packing Approach,Junyu Cao ; ,Mathematics of Operations Research, (November 2020),2020
/doi/10.1287/deca.2018.0387,Information Sharing in Cybersecurity: A Review,Ali Pala ; ,Decision Analysis, (September 2019),2019
/doi/10.1287/inte.1050.0136,A Study of the Philadelphia Knowledge Economy,Steven O. Kimbrough; ,INFORMS Journal on Applied Analytics, (May-June 2005),2005
/doi/10.1287/moor.7.1.40,Demand Compatible Equitable Cost Sharing Prices,Leonard J. Mirman; ,Mathematics of Operations Research, (February 1982),1982
/doi/10.1287/orsc.1050.0127,Reconceptualizing and Managing Reputation Risk in the Knowledge Economy: Toward Reputable Action,Susan V. Scott; ,Organization Science, (May-June 2005),2005
/doi/10.1287/isre.1080.0217,The Interaction Between Knowledge Codification and Knowledge-Sharing Networks,De Liu; ,Information Systems Research, (December 2010),2010
/doi/10.1287/moor.1090.0435,Sharing the Cost of a Capacity Network,Anna Bogomolnaia; ,Mathematics of Operations Research, (February 2010),2010
/doi/10.1287/mnsc.1030.0168,Channel Performance Under Consignment Contract with Revenue Sharing,Yunzeng Wang; ,Management Science, (January 2004),2004
/doi/10.1287/mnsc.1070.0851,Confidentiality and Information Sharing in Supply Chain Coordination,Lode Li; ,Management Science, (August 2008),2008
/doi/10.1287/mksc.1120.0706,Social Sharing of Information Goods: Implications for Pricing and Profits,Michael R. Galbreth; ,Marketing Science, (July-August 2012),2012
/doi/10.1287/mnsc.1070.0794,Security Patch Management: Share the Burden or Share the Damage?,Hasan Cavusoglu; ,Management Science, (April 2008),2008
/doi/10.1287/opre.2018.1800,Spatial Pricing in Ride-Sharing Networks,Kostas Bimpikis ; ,Operations Research, (May-June 2019),2019
/doi/10.1287/mnsc.2016.2682,Socially and Environmentally Responsible Value Chain Innovations: New Operations Management Research Opportunities,Hau L. Lee; ,Management Science, (March 2018),2018
/doi/10.1287/mksc.1090.0534,Information Acquisition and Sharing in  a Vertical Relationship,Liang Guo; ,Marketing Science, (May-June 2010),2010
/doi/10.1287/trsc.2019.0931,Location of Charging Stations in Electric Car Sharing Systems,Georg Brandstätter ; ,Transportation Science, (September-October 2020),2020
/doi/10.1287/trsc.2019.0969,The Commute Trip-Sharing Problem,Mohd. Hafiz Hasan ; ,Transportation Science, (November-December 2020),2020
/doi/10.1287/mksc.2.1.75,Minimum Market Share,Aneel Karnani; ,Marketing Science, (February 1983),1983
/doi/10.1287/trsc.2019.0969,The Commute Trip-Sharing Problem,Mohd. Hafiz Hasan ; ,Transportation Science, (November-December 2020),2020
/doi/10.1287/mnsc.2020.3618,<i>Management Science</i>, Wallace J. Hopp  ; ,Management Science, (September 2021),2021
/doi/10.1287/opre.2021.2101,A Simple Heuristic Policy for Stochastic Distribution Inventory Systems with Fixed Shipment Costs,Han Zhu ; ,Operations Research, (-Not available-),-1
/doi/10.1287/mnsc.2021.3986,"Knowledge Accumulation, Privacy, and Growth in a Data Economy", Lin William   Cong  ; ,Management Science, (October 2021),2021
/doi/10.1287/trsc.2017.0813,Leveraging Customer Flexibility for Car-Sharing Fleet Optimization,Philipp Ströhle ; ,Transportation Science, (January-February 2019),2019
/doi/10.1287/mnsc.2021.3991,Frustration-Based Promotions: Field Experiments in Ride-Sharing,Maxime C. Cohen ; ,Management Science, (-Not available-),-1
/doi/10.1287/mnsc.1080.0902,Knowledge Sharing Ambidexterity in Long-Term Interorganizational Relationships,Ghiyoung Im; ,Management Science, (July 2008),2008
/doi/10.1287/serv.2021.0283,COVID-19 and Hotel Productivity Changes: An Empirical Analysis Using Malmquist Productivity Index, Changhee Kim  ; ,Service Science, (-Not available-),-1
/doi/10.1287/isre.1090.0258,Analyzing Sharing in Peer-to-Peer Networks Under Various Congestion Measures,Monica Johar; ,Information Systems Research, (June 2011),2011
/doi/10.1287/moor.1120.0567,Optimal Cost Sharing for Resource Selection Games,Philipp von Falkenhausen; ,Mathematics of Operations Research, (February 2013),2013
/doi/10.1287/isre.2020.0970,Welfare Implications in Intermediary Networks,Thành Nguyen; ,Information Systems Research, (June 2021),2021
/doi/10.1287/trsc.2021.1041,The Competitive Pickup and Delivery Orienteering Problem for Balancing Car-Sharing Systems,Layla Martin ; ,Transportation Science, (November–December 2021),2021
/doi/10.1287/orsc.13.2.179.536,"Social Structure of “Coopetition” Within a Multiunit Organization: Coordination, Competition, and Intraorganizational Knowledge Sharing",Wenpin Tsai; ,Organization Science, (March-April 2002),2002
/doi/10.1287/mksc.1110.0688,Exclusive Channels and Revenue Sharing in a Complementary Goods Market,Gangshu (George) Cai; ,Marketing Science, (January-February 2012),2012
/doi/10.1287/msom.2021.1021,Introduction to the , Guillaume   Roels  ; ,Manufacturing & Service Operations Management, (July–August 2021),2021
/doi/10.1287/mnsc.2018.3111,"State-Run Banks, Money Growth, and the Real Economy",Randall Morck ; ,Management Science, (December 2019),2019
/doi/10.1287/serv.2.3.136,"Division of Labor between Firms: Business Services, Non-Ownership-Value and the Rise of the Service Economy",Michael Ehret; ,Service Science, (September 2010),2010
/doi/10.1287/stsc.2021.0124,"Three Faces of Technology’s Value Creation: Emerging, Enabling, Embedding",Rahul Kapoor ; ,Strategy Science, (March 2021),2021
/doi/10.1287/msom.2016.0607,Information Sharing in Competing Supply Chains with Production Cost Reduction,Albert Y. Ha; ,Manufacturing & Service Operations Management, (Spring 2017),2017
/doi/10.1287/mnsc.1090.1019,Price-Dependent Profit Sharing as a Channel Coordination Device,Øystein Foros; ,Management Science, (August 2009),2009
/doi/10.1287/mnsc.1100.1295,Sharing Demand Information in Competing Supply Chains with Production Diseconomies,Albert Y. Ha; ,Management Science, (March 2011),2011
/doi/10.1287/opre.2020.2060,Procurement with Cost and Noncost Attributes: Cost-Sharing Mechanisms, Shivam   Gupta  ; ,Operations Research, (September-October 2021),2021
/doi/10.1287/mnsc.2018.3050,"Your Uber Is Arriving: Managing On-Demand Workers Through Surge Pricing, Forecast Communication, and Worker Incentives",Harish Guda ; ,Management Science, (May 2019),2019
/doi/10.1287/trsc.1100.0347,Fleet Management for Vehicle Sharing Operations,Rahul Nair; ,Transportation Science, (November 2011),2011
/doi/10.1287/ited.2021.0244,How to Share the Gains of Collaboration?,Sergio Barbarino; ,INFORMS Transactions on Education, (-Not available-),-1
/doi/10.1287/mnsc.2021.3957,Dimensioning On-Demand Vehicle Sharing Systems,Saif Benjaafar ; ,Management Science, (-Not available-),-1
/doi/10.1287/stsy.2019.0037,Dynamic Matching for Real-Time Ride Sharing,Erhun Özkan ; ,Stochastic Systems, (March 2020),2020
/doi/10.1287/mnsc.1070.0714,"Incentives That Induce Task-Related Effort, Helping, and Knowledge Sharing in Workgroups",Enno Siemsen; ,Management Science, (October 2007),2007
/doi/10.1287/mnsc.45.3.297,Component Sharing in the Management of Product Variety: A Study of Automotive Braking Systems,Marshall Fisher; ,Management Science, (March 1999),1999
/doi/10.1287/orsc.1090.0500,"To Share or Not to Share? Professional Norms, Reference Groups, and Information Withholding Among Life Scientists",Martine R. Haas; ,Organization Science, (July-August 2010),2010
/doi/10.1287/mnsc.2019.3345,The Political Economy of Labor Employment Decisions: Evidence from China,Zhaoyang Gu ; ,Management Science, (October 2020),2020
/doi/10.1287/opre.2016.1509,Competitive Equilibria in Two-Sided Matching Markets with General Utility Functions,Saeed Alaei; ,Operations Research, (May-June 2016),2016
/doi/10.1287/trsc.2018.0870,An Ascending Auction for Freight Forwarder Collaboration in Capacity Sharing,Minghui Lai ; ,Transportation Science, (July-August 2019),2019
/doi/10.1287/isre.2016.0672,Assessing the Impact of Granular Privacy Controls on Content Sharing and Disclosure on Facebook,Huseyin Cavusoglu; ,Information Systems Research, (December 2016),2016
/doi/10.1287/mnsc.13.6.C112,"Time Sharing, Management, and Management Science",G. J. Feeney; ,Management Science, (February 1967),1967
/doi/10.1287/isre.14.1.87.14765,The Social Construction of Meaning: An Alternative Perspective on Information Sharing,Shaila M. Miranda; ,Information Systems Research, (March 2003),2003
/doi/10.1287/opre.1110.0979,The Worst-Case Efficiency of Cost Sharing Methods in Resource Allocation Games,Tobias Harks; ,Operations Research, (November-December 2011),2011
/doi/10.1287/msom.2019.0823,Smart City Operations: Modeling Challenges and Opportunities,Sameer Hasija ; ,Manufacturing & Service Operations Management, (January-February 2020),2020
/doi/10.1287/opre.2013.1215,Models for Effective Deployment and Redistribution of Bicycles Within Public Bicycle-Sharing Systems,Jia Shu; ,Operations Research, (November-December 2013),2013
/doi/10.1287/mnsc.1070.0791,Does Component Sharing Help or Hurt Reliability? An Empirical Study in the Automotive Industry,Kamalini Ramdas; ,Management Science, (May 2008),2008
/doi/10.1287/opre.2017.1677,Profit Sharing Agreements in Decentralized Supply Chains: A Distributionally Robust Approach,Qi Fu ; ,Operations Research, (March-April 2018),2018
/doi/10.1287/trsc.2019.0950,Integrating Resource Management in Service Network Design for Bike-Sharing Systems,Bruno Albert Neumann-Saavedra; ,Transportation Science, (September-October 2020),2020
/doi/10.1287/orsc.12.2.215.10117,"Market, Hierarchy, and Trust: The Knowledge Economy and the Future of Capitalism",Paul S. Adler; ,Organization Science, (March-April 2001),2001
/doi/10.1287/mnsc.2017.2805,Designing Incentive Systems for Truthful Forecast Information Sharing Within a Firm,Lisa M. Scheele ; ,Management Science, (August 2018),2018
/doi/10.1287/mnsc.1070.0699,The Effect of Digital Sharing Technologies on Music Markets: A Survival Analysis of Albums on Ranking Charts,Sudip Bhattacharjee; ,Management Science, (September 2007),2007
/doi/10.1287/serv.2015.0091,Commentary—Toward a Research Agenda for Human-Centered Service System Innovation,Paul P. Maglio; ,Service Science, (March 2015),2015
/doi/10.1287/isre.2014.0536,"Social Media, Knowledge Sharing, and Innovation: Toward a Theory of Communication Visibility",Paul M. Leonardi; ,Information Systems Research, (December 2014),2014
/doi/10.1287/mnsc.2013.1710,"Media, Aggregators, and the Link Economy: Strategic Hyperlink Formation in Content Networks",Chrysanthos Dellarocas; ,Management Science, (October 2013),2013
/doi/10.1287/mnsc.1040.0259,Two Faces: Effects of Business Groups on Innovation in Emerging Economies,Ishtiaq P. Mahmood; ,Management Science, (October 2004),2004
/doi/10.1287/mnsc.1040.0317,An Empirical Analysis of Forecast Sharing in the Semiconductor Equipment Supply Chain,Christian Terwiesch; ,Management Science, (February 2005),2005
/doi/10.1287/orsc.1120.0789,"Dynamism, Capital Structure, and Performance in a Sub-Saharan Economy: Extending the Institutional Difference Hypothesis",Joseph Ofori-Dankwa; ,Organization Science, (September-October 2013),2013
/doi/10.1287/isre.2017.0742,Optimal Auction Design for Wi-Fi Procurement,Liangfei Qiu ; ,Information Systems Research, (March 2019),2019
/doi/10.1287/msom.2020.0931,Price-Directed Cost Sharing and Demand Allocation Among Service Providers with Multiple Demand Sources and Multiple Facilities,Hanlin Liu ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/opre.1040.0203,Production Control Policies in Supply Chains with Selective-Information Sharing,Boray Huang; ,Operations Research, (July-August 2005),2005
/doi/10.1287/mnsc.1120.1591,Revenue Sharing in Airline Alliances,Xing Hu; ,Management Science, (May 2013),2013
/doi/10.1287/mnsc.1110.1334,Trust in Forecast Information Sharing,Özalp Özer; ,Management Science, (June 2011),2011
/doi/10.1287/mnsc.48.9.1196.177,Information Sharing in a Supply Chain with Horizontal Competition,Lode Li; ,Management Science, (September 2002),2002
/doi/10.1287/orsc.2020.1408,Capturing Value in Platform Business Models That Rely on User-Generated Content,Hemang Subramanian ; ,Organization Science, (May-June 2021),2021
/doi/10.1287/trsc.2021.1058,A Node-Charge Graph-Based Online Carshare Rebalancing Policy with Capacitated Electric Charging,Theodoros P. Pantelidis ; ,Transportation Science, (-Not available-),-1
/doi/10.1287/mnsc.2016.2617,"Information Sharing, Advice Provision, or Delegation: What Leads to Higher Trust and Trustworthiness?",Özalp Özer; ,Management Science, (January 2018),2018
/doi/10.1287/msom.2021.0991,Gender Inequality in Research Productivity During the COVID-19 Pandemic, Ruomeng Cui  ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/trsc.2020.1031,Acyclic Mechanism Design for Freight Consolidation,Wentao Zhang; ,Transportation Science, (-Not available-),-1
/doi/10.1287/isre.2016.0683,Special Section Introduction—Ubiquitous IT and Digital Vulnerabilities,Sam Ransbotham; ,Information Systems Research, (December 2016),2016
/doi/10.1287/msom.2018.0757,OM Forum—Innovative Online Platforms: Research Opportunities,Ying-Ju Chen ; ,Manufacturing & Service Operations Management, (May–June 2020),2020
/doi/10.1287/mnsc.2020.3855,An Experimental Comparison of Two Exchange Economies: Long-Lived Asset vs. Short-Lived Asset,Enrica Carbone ; ,Management Science, (November 2021),2021
/doi/10.1287/isre.2016.0676,Anonymizing and Sharing Medical Text Records,Xiao-Bai Li ; ,Information Systems Research, (June 2017),2017
/doi/10.1287/msom.2020.0880,We Are on the Way: Analysis of On-Demand Ride-Hailing Systems, Guiyun Feng  ; ,Manufacturing & Service Operations Management, (September–October 2021),2021
/doi/10.1287/trsc.2017.0755,The Value of Sharing Inland Transportation Services in a Dry Port System,Xuan Qiu; ,Transportation Science, (July-August 2018),2018
/doi/10.1287/mksc.2015.0962,A Model of Unorganized and Organized Retailing in Emerging Economies,Kinshuk Jerath; ,Marketing Science, (September-October 2016),2016
/doi/10.1287/deca.1030.0019,"Risk Sharing, Fiduciary Duty, and Corporate Risk Attitudes",James E. Smith; ,Decision Analysis, (June 2004),2004
/doi/10.1287/msom.2019.0816,Innovation and New Product Development: Reflections and Insights from the Research Published in the First 20 Years of ,Stylianos Kavadias ; ,Manufacturing & Service Operations Management, (January-February 2020),2020
/doi/10.1287/mnsc.2019.3313,Sharing the Revenues from Broadcasting Sport Events,Gustavo Bergantiños; ,Management Science, (June 2020),2020
/doi/10.1287/mnsc.27.9.975,Expectations and Share Prices,Edwin J. Elton; ,Management Science, (September 1981),1981
/doi/10.1287/orsc.1040.0043,Capital Structure in Transition: The Transformation of Financial Strategies in China's Emerging Economy,Lisa A. Keister; ,Organization Science, (March-April 2004),2004
/doi/10.1287/msom.2017.0678,On-Demand Service Platforms,Terry A. Taylor ; ,Manufacturing & Service Operations Management, (Fall 2018),2018
/doi/10.1287/msom.2021.0973,Crowdsourcing Last-Mile Deliveries, Soraya Fatehi  ; ,Manufacturing & Service Operations Management, (-Not available-),-1
/doi/10.1287/stsc.2017.0027,Repositioning and Cost-Cutting: The Impact of Competition on Platform Strategies,Robert Seamans; ,Strategy Science, (June 2017),2017
/doi/10.1287/mnsc.1040.0215,Supply Chain Coordination with Revenue-Sharing Contracts: Strengths and Limitations,Gérard P. Cachon; ,Management Science, (January 2005),2005
/doi/10.1287/mnsc.2020.3662,Bundling for Flexibility and Variety: An Economic Model for Multiproducer Value Aggregation, Hemant K.   Bhargava  ; ,Management Science, (April 2021),2021
/doi/10.1287/orsc.12.2.238.10110,"The Ontology of Trust and the Transformation of Capitalism in a Knowledge Economy— A Commentary on Paul Adler's ‘Market, Hierarchy, and Trust: The Knowledge Economy and the Future of Capitalism’",Carroll Underwood Stephens; ,Organization Science, (March-April 2001),2001
/doi/10.1287/mnsc.2014.1945,Estimating Demand for Mobile Applications in the New Economy,Anindya Ghose; ,Management Science, (June 2014),2014
/doi/10.1287/isre.2020.0972,"Dynamic, Multidimensional, and Skillset-Specific Reputation Systems for Online Work",Marios Kokkodis ; ,Information Systems Research, (September 2021),2021
/doi/10.1287/msom.2019.0840,Incentives and Gaming in Collaborative Projects Under Risk-Sharing Partnerships,Ju Myung Song ; ,Manufacturing & Service Operations Management, (March–April 2021),2021
